VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,population
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,143473,22031750
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,146932,22340024
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,147098,22733465
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,147678,23128129
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,153580,23475686
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,159052,23815995
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,158504,24190907
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,161084,24601860
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,158659,24982688
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,168960,25365745
CICDALLC,All causes of death,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,161300,25693267
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,2150,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,2400,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,2394,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,2682,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,2735,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,2857,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,2832,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,2650,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,2418,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,2583,
CICDINFE,Certain infectious and parasitic diseases,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,2321,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,71,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,91,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,75,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,62,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,56,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,45,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,58,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,56,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,29,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,40,
CICDHIVD,HIV-AIDS,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,43,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,42347,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,42683,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,42464,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,43502,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,43556,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,45326,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,45167,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,45265,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,46592,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,48642,
CICDTUME,Malignant neoplasms,NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,47465,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,4061,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,4087,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,4054,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,4235,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,4171,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,4438,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2016,2016,4417,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2017,2017,4303,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2018,2018,4376,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2019,2019,4339,
CICDNCRA,"Malignant neoplasms of colon, rectum and anus",NBPOPUPC,Number of total deaths,AUS,Australia,2020,2020,4406,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2010,2010,8102,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2011,2011,8117,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2012,2012,8138,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2013,2013,8215,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2014,2014,8252,
CICDCANC,"Malignant neoplasms of trachea, bronchus, lung",NBPOPUPC,Number of total deaths,AUS,Australia,2015,2015,8470,
