"","Country","Year","Variable","Value","population","comorbidity","value_population_ratio","Normalized Values pop","standard daviation"
"Accidental falls.309","Australia",2010,"Accidental falls",1670,NA,0,7.57996981628786e-05,-1.52424861730424,1.91562628750998e-05
"Accidental falls.310","Australia",2011,"Accidental falls",1872,NA,0,8.37957918039837e-05,-1.10683454790874,1.91562628750998e-05
"Accidental falls.311","Australia",2012,"Accidental falls",2017,NA,0,8.87238263062846e-05,-0.849580064900655,1.91562628750998e-05
"Accidental falls.312","Australia",2013,"Accidental falls",1991,NA,0,8.60856492109673e-05,-0.987298841914647,1.91562628750998e-05
"Accidental falls.313","Australia",2014,"Accidental falls",2399,NA,0,0.000102190836936565,-0.146571825867489,1.91562628750998e-05
"Accidental falls.314","Australia",2015,"Accidental falls",2614,NA,0,0.000109758168827294,0.248459915974282,1.91562628750998e-05
"Accidental falls.315","Australia",2016,"Accidental falls",2729,NA,0,0.000112810983068969,0.407823684449323,1.91562628750998e-05
"Accidental falls.316","Australia",2017,"Accidental falls",2817,NA,0,0.000114503537537406,0.496178833857766,1.91562628750998e-05
"Accidental falls.317","Australia",2018,"Accidental falls",2977,NA,0,0.000119162517660229,0.739388073217266,1.91562628750998e-05
"Accidental falls.318","Australia",2019,"Accidental falls",3298,NA,0,0.000130017864643834,1.30606159687801,1.91562628750998e-05
"Accidental falls.319","Australia",2020,"Accidental falls",3395,NA,1,0.000132135784834214,1.41662179351912,1.91562628750998e-05
"Accidental poisoning.518","Australia",2010,"Accidental poisoning",958,NA,0,4.3482701101819e-05,-1.22576476503014,6.92305163179081e-06
"Accidental poisoning.519","Australia",2011,"Accidental poisoning",1008,NA,0,4.51208109713759e-05,-0.989148030578148,6.92305163179081e-06
"Accidental poisoning.520","Australia",2012,"Accidental poisoning",941,NA,0,4.1392722138926e-05,-1.52765171807491,6.92305163179081e-06
"Accidental poisoning.521","Australia",2013,"Accidental poisoning",1059,NA,0,4.57883990529454e-05,-0.892718288742336,6.92305163179081e-06
"Accidental poisoning.522","Australia",2014,"Accidental poisoning",1271,NA,0,5.41411228621817e-05,0.313790669082045,6.92305163179081e-06
"Accidental poisoning.523","Australia",2015,"Accidental poisoning",1299,NA,0,5.45431757102737e-05,0.371865181518977,6.92305163179081e-06
"Accidental poisoning.524","Australia",2016,"Accidental poisoning",1442,NA,0,5.96091746373958e-05,1.10362325535146,6.92305163179081e-06
"Accidental poisoning.525","Australia",2017,"Accidental poisoning",1502,NA,0,6.10522944200154e-05,1.31207465213042,6.92305163179081e-06
"Accidental poisoning.526","Australia",2018,"Accidental poisoning",1479,NA,0,5.92009955053676e-05,1.0446638320021,6.92305163179081e-06
"Accidental poisoning.527","Australia",2019,"Accidental poisoning",1357,NA,0,5.34973445487211e-05,0.220800128537123,6.92305163179081e-06
"Accidental poisoning.528","Australia",2020,"Accidental poisoning",1383,NA,1,5.38273314950567e-05,0.268465083803416,6.92305163179081e-06
"Accidents.507","Australia",2010,"Accidents",5578,NA,0,0.000253180069672178,-1.47526404060183,1.99767388106913e-05
"Accidents.508","Australia",2011,"Accidents",6005,NA,0,0.000268800069328484,-0.693354650669431,1.99767388106913e-05
"Accidents.509","Australia",2012,"Accidents",5934,NA,0,0.000261024881160879,-1.08256673584942,1.99767388106913e-05
"Accidents.510","Australia",2013,"Accidents",5916,NA,0,0.000255792416239117,-1.34449461964201,1.99767388106913e-05
"Accidents.511","Australia",2014,"Accidents",6564,NA,0,0.00027960844253923,-0.15230671921422,1.99767388106913e-05
"Accidents.512","Australia",2015,"Accidents",6929,NA,0,0.000290938925709381,0.41487710781203,1.99767388106913e-05
"Accidents.513","Australia",2016,"Accidents",7288,NA,0,0.000301270225213135,0.932043578358473,1.99767388106913e-05
"Accidents.514","Australia",2017,"Accidents",7256,NA,0,0.000294937049475121,0.615016069612931,1.99767388106913e-05
"Accidents.515","Australia",2018,"Accidents",7351,NA,0,0.000294243757917483,0.580311127819967,1.99767388106913e-05
"Accidents.516","Australia",2019,"Accidents",7868,NA,0,0.000310182097943506,1.37815607023336,1.99767388106913e-05
"Accidents.517","Australia",2020,"Accidents",7687,NA,1,0.000299183439770427,0.827582812140165,1.99767388106913e-05
"Acute myocardial infarction.144","Australia",2010,"Acute myocardial infarction",9951,NA,0,0.000451666345160961,1.54736148793253,6.42303451561644e-05
"Acute myocardial infarction.145","Australia",2011,"Acute myocardial infarction",9830,NA,0,0.000440017432389509,1.36599997192121,6.42303451561644e-05
"Acute myocardial infarction.146","Australia",2012,"Acute myocardial infarction",9296,NA,0,0.000408912587676362,0.881729731156958,6.42303451561644e-05
"Acute myocardial infarction.147","Australia",2013,"Acute myocardial infarction",8613,NA,0,0.000372403664818715,0.313323586539768,6.42303451561644e-05
"Acute myocardial infarction.148","Australia",2014,"Acute myocardial infarction",8632,NA,0,0.000367699585008932,0.240085932307247,6.42303451561644e-05
