"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"1",2.24298989884207e-05,3.56603492684351e-06,7.17573287903321e-06,-5.54054315660653e-05,0.000249688069556045,2.84300979217746e-05,-4.28484670071486e-07,1.25606339845316e-07,-2.01408063436003e-05,-1.89273632717021e-06,-2.29578185277946e-06,4.00199894101517e-06,-2.24917973468089e-05,-1.00973486360546e-06,4.72069154154287e-05,1.16748129410377e-05,1.38965318070832e-06,-6.10611213304909e-05,7.90344124545146e-06,1.18330350441966e-05,1.40909682170998e-06,5.39496672878892e-05,-2.50625149420686e-05,1.97360419761955e-06,1.47117655567173e-05,1.11550063531561e-05,-7.39707133634432e-07,-7.3352507774341e-08,-6.86683002941646e-08,-3.44896932836356e-06,-0.000118397173139042,4.84491831891302e-07,1.66474333968514e-06,7.1201540640107e-06,1.40063655012714e-06,-3.79604745663695e-06,7.92216313148897e-06,9.67771748281891e-06,-2.29650341967612e-06,-8.04039916022127e-06,4.5150847949782e-05,1.14682667478049e-05,1.06083555912784e-05,3.143495951409e-07,-4.9500449794414e-06,2.82926723060711e-05,-7.64509930981394e-06,-3.33057805432619e-07
"2",4.60772075972697e-06,3.18880677091286e-07,7.03233144252125e-06,-3.87737759384676e-05,0.000634354014910334,1.56678055365768e-05,-2.14791922764403e-07,1.33869363324074e-07,-1.75808734525052e-05,-1.71875977026479e-06,-3.15788292996562e-06,9.58613183372597e-06,-2.30803192639145e-05,-9.6751229024506e-07,0.000128568362443381,4.61895550581835e-05,4.22355353064753e-06,-6.53353886551829e-05,1.89887044949409e-05,3.37613618713678e-05,2.51621534264169e-06,4.73795323814603e-05,-3.3025183330434e-05,1.09916285461467e-06,4.28286181765131e-05,9.656875031585e-06,-7.61509014317615e-07,-9.56410153614117e-08,-5.0230156754231e-08,-4.42329180713884e-06,-0.000119502876676966,9.83754730950037e-07,6.72255530192561e-07,8.63387875720838e-06,1.97900839257981e-06,-6.92434621550257e-06,4.64855869188774e-06,1.47854840865797e-05,-8.79842508623835e-06,-6.76690706447903e-06,0.000132204230847142,1.38564386450658e-05,1.51244141991398e-05,4.59232735414897e-07,-1.07709908731334e-05,4.52272064597266e-05,-1.1302070183183e-05,-1.39276899068847e-06
"3",3.60957088550384e-06,3.27541689993343e-06,9.33867370091581e-06,-2.16940680976459e-05,0.000734049407869477,1.25485676952067e-05,-4.56401926709117e-06,2.29657317903117e-07,-6.60964054505146e-06,-6.33166341096976e-06,-1.90455478844902e-06,5.31207767483907e-06,-1.04301066021351e-05,-5.4142618735079e-06,2.37720249653222e-05,0.000162850966782529,3.78893636334103e-06,-1.56416597638004e-05,2.64683967376567e-05,3.43610924105837e-05,2.44501120868029e-06,3.10020557724083e-05,-2.7116190781257e-05,2.93028854304826e-06,0.000177118345039905,2.30759258626091e-05,-2.91197522311803e-06,-1.43755212744679e-07,-5.18456860777951e-09,-2.56134237727501e-06,-7.10523029308332e-05,1.025670522519e-06,5.0838102049271e-07,1.51503557612807e-05,2.41411633595994e-06,-1.17348294112395e-05,8.27287969992796e-06,8.59285875247868e-06,-4.38211544342942e-06,-3.81424872889572e-06,3.00875009239285e-05,2.31973511608467e-05,6.0562116489156e-06,5.40108336029729e-07,-1.65931689090988e-05,4.79363558294755e-05,-2.84301413439453e-05,-1.84365089886615e-06
"4",2.59164777634591e-05,2.23757045359878e-06,4.6850353774742e-06,-9.81252761014163e-05,0.00111038200164641,7.8338718330015e-05,-5.02783264463777e-07,3.56256052975551e-07,-6.12226555463114e-05,-1.47401337372401e-06,-7.05035722009892e-06,7.82778302546419e-06,-4.55349306994313e-05,-9.74698267245328e-07,5.46686691443805e-05,0.000148740366985162,3.3543513145636e-06,-9.23354101924936e-05,1.86314309909019e-05,2.41824809557662e-05,2.77911481720514e-06,0.000111978099762767,-4.8632749093956e-05,2.60568649490047e-06,0.00018189306860246,9.20563179019287e-06,-3.62115962867644e-07,-1.01344607607086e-07,-2.9540609902831e-08,-5.64288388257826e-06,-0.000208873815422201,1.27385943522149e-06,7.3556180653432e-07,8.05343608180208e-06,3.92140855965041e-06,-9.94872840271023e-06,3.88607409278691e-06,1.60877421769899e-05,-7.81077364577029e-06,-1.07151141717813e-05,5.92352666725084e-05,1.40390087710253e-05,1.60098902739706e-05,6.14314010163159e-07,-2.45190540744202e-05,7.99066590809626e-05,-9.78956279308142e-06,-1.18591751849883e-06
"5",2.25931449121972e-05,2.22317031087369e-05,2.61167058771392e-05,-3.38219174197263e-05,0.000271571424869255,1.99593676079329e-05,-4.00167667617087e-06,8.36560362092876e-07,-5.39744798962819e-05,-2.53470975411324e-06,-3.21092762017062e-06,3.33708222779051e-05,-1.18545170598962e-05,-4.30662120714933e-06,2.99933182949434e-05,7.79555755496493e-05,4.94798567678708e-06,-9.20622653441622e-05,4.61980697565861e-05,1.98037864294577e-05,5.5453857431577e-06,5.58113969742323e-05,-2.87463524224032e-05,4.15346696011612e-06,8.98546134175127e-05,5.47829021797499e-05,-5.01232409329091e-06,-3.76974174094585e-07,-9.23745283323718e-08,-5.43002063896398e-06,-0.000564472126241499,2.57040267392291e-06,1.54550664444729e-06,2.19371104151783e-05,4.53691110818728e-06,-1.94186873866198e-05,1.1314371105003e-05,2.62282708707642e-05,-9.68710983316016e-06,-1.64447980161498e-05,2.56323627150064e-05,3.94456542147113e-05,1.54917022703592e-05,1.64002411398888e-06,-1.77519923308264e-05,7.59091157137846e-05,-1.77974824537604e-05,-7.69744759822177e-06
"6",3.90253578862513e-05,1.51134092553069e-06,1.54612081647683e-05,-5.81247203268463e-05,0.000820221095156613,2.29012226526461e-05,-2.16079901401575e-07,1.42841746266174e-07,-1.7242692018387e-05,-1.32313950348307e-06,-4.46128772035641e-06,2.65191638568955e-06,-3.11532690920222e-05,-2.0892141336454e-06,0.000173706447133138,1.70947758499456e-05,6.61141193611005e-06,-5.27653498743338e-05,1.23199184994102e-05,2.60496743813491e-05,5.80961586244656e-06,7.97963448523931e-05,-2.48462361542632e-05,1.89084728459037e-06,4.31645835717968e-05,2.07954149439825e-05,-7.50554327705698e-07,-4.73708961789522e-08,-4.50010535778858e-08,-2.5177707707011e-06,-7.18079572683297e-05,8.88263203163087e-07,3.89205667302232e-07,7.81217789295564e-06,1.22965931803573e-06,-8.72021879595021e-06,2.5966387176139e-06,1.75224437163111e-05,-8.11067487270379e-06,-6.84626197642638e-06,0.000187807932220581,1.49537452634807e-05,2.76937452855648e-05,7.22844917121268e-07,-8.66849051979584e-06,6.8020848443557e-05,-5.78150114322165e-06,-4.10324738191488e-07
"7",1.36916869032957e-05,1.74907345048358e-05,1.42977038007625e-05,-5.53796763223479e-05,0.000456305626983262,9.37416835920215e-05,-1.03368223842113e-06,6.74446241410253e-07,-2.51296731145641e-05,-5.28682688547831e-06,-3.2298309176311e-06,7.81782914111419e-06,-4.1096531771862e-05,-6.67602568646532e-06,4.35509812896386e-05,2.68866194301919e-05,7.00262290021794e-06,-6.04497799647229e-05,2.71279733768078e-05,1.95980771831864e-05,3.83801586191883e-06,0.000123698012173378,-4.0572335130916e-05,2.56997035837772e-06,4.51429655467143e-05,2.18216581948015e-05,-1.63517624889058e-07,-3.74079691876143e-07,-3.39957424627224e-08,-7.78113553464616e-06,-0.00014075351302868,2.41285159630106e-06,3.63536762553228e-06,2.3322984931553e-05,7.13990923570262e-06,-2.21254028707842e-05,7.74672944836294e-06,3.58326293992739e-05,-1.27243379255279e-05,-3.41832517311749e-05,5.33798806934588e-05,3.84426492535807e-05,3.50337460952254e-05,1.64554065218019e-06,-1.80811043228865e-05,3.84211756681421e-05,-1.90137272588157e-05,-1.60021449993713e-06
"8",1.40086700534887e-05,6.20397441723313e-06,2.05236144989732e-05,-6.3809220393165e-05,0.000650518145108922,9.31997738414637e-06,-4.91358227277863e-06,3.27145927594762e-07,-9.85927201992837e-05,-4.87791580692928e-06,-5.17120212995673e-06,9.13514574888633e-06,-1.38196652134934e-05,-4.26164313213043e-06,0.00010059873661264,7.97597308525033e-05,4.89671181904448e-06,-7.50637606061013e-05,2.53272625278454e-05,3.54012597569255e-05,4.43085489403513e-06,7.1142971730165e-05,-2.50052263254762e-05,7.24064711821741e-06,8.8432141190925e-05,4.2745063193785e-05,-7.4250304067961e-06,-3.17928593148006e-07,-5.54292381554642e-08,-8.84997586920002e-06,-0.000331246156774417,2.25181528087668e-06,1.44295748454365e-06,2.27578757974339e-05,5.68791880782756e-06,-1.22481154610781e-05,1.06031591685921e-05,2.67263912123062e-05,-1.03031814245358e-05,-1.04629294113279e-05,0.000100958752213864,4.228796423265e-05,2.66894653723992e-05,1.42135792483742e-06,-1.15917021357707e-05,0.000316596434831284,-1.8645662073879e-05,-6.16657577199243e-06
"9",2.741046718207e-05,1.42582713058949e-05,2.85533800858686e-05,-1.74003505050546e-05,0.00115647395423235,2.30527661990332e-05,-4.20958314722495e-06,2.8260124607626e-07,-2.72631284494616e-05,-3.18964046477751e-06,-8.20736571299145e-06,2.69170661338873e-05,-2.75889673669707e-05,-3.75043679613611e-06,4.61717645256121e-05,9.3342988011714e-05,2.67045508474784e-06,-9.18629444979679e-05,3.38701089007434e-05,1.44590975493224e-05,3.00880000142568e-06,6.52523628873905e-05,-1.80364152545874e-05,3.12363363307538e-06,9.66993110633304e-05,7.98324902082584e-05,-1.74874770766577e-06,-2.05948509251275e-07,-2.20643220143408e-08,-1.77207529996483e-05,-0.0002062215974575,1.26307999101598e-06,9.42182482796651e-07,2.69069801901275e-05,4.7311004730052e-06,-6.9832202584489e-06,8.6927315947893e-06,2.27325321005493e-05,-9.71695222949581e-06,-9.80589392115707e-06,4.84588656042292e-05,4.70407265551368e-05,2.0535715512109e-05,2.87504388612649e-06,-1.78920663085227e-05,3.70946853169602e-05,-2.42766749905185e-05,-1.51993518757284e-05
"10",2.56983174597381e-06,6.72813040791924e-07,8.3634023753231e-06,-0.000166972480580536,0.00189371298821673,2.88042104037044e-06,-1.59801768143115e-05,1.67190885084992e-07,-2.61872390017537e-06,-1.25760289094642e-05,-2.40312655182993e-06,9.25107407504532e-06,-9.07185705461387e-06,-4.53846678192896e-06,1.19057681898607e-06,0.00021825638597158,1.83551007559928e-06,-9.01434435002895e-05,3.11584984597132e-05,2.20240469661024e-05,1.04796094229392e-06,7.86976309136132e-06,-4.97936454997834e-05,5.07237333790963e-06,0.000224700161292724,2.10156588714277e-05,-2.05735639246289e-06,-5.31365155957979e-08,-3.28502488003947e-09,-1.78753533068093e-06,-0.000217881434689448,2.88242816730141e-07,1.29355345824786e-07,7.75825146340696e-06,3.68539773066216e-07,-5.17091904683524e-06,2.15107442516923e-06,3.12989857820905e-06,-1.582228466234e-06,-1.21148896518157e-06,4.34768853242282e-06,1.44512196061465e-05,1.48360340391022e-06,4.84044099741154e-07,-4.42490754297736e-05,1.18883795015982e-05,-1.53568120787237e-05,-1.8902976016716e-06
